constant,gate_group,hard_value,comparator,evidence_source,history_field,slice_filter,support_count,calibrated_percentile,q05,median,q95,min_value,max_value,activation_status,review_flag,notes
MIN_CREDIT_RATIO,G3_CREDIT_ECONOMICS,0.1,>=,candidate,credit_width_ratio,"index,lane,trade_mode,strategy_type",9728,14.64,0.032,0.23665,0.5322,0.0088,0.565,percentile_candidate_after_stability_pass,eligible_pending_batch5_wiring,Candidate-level field exists in generated rank diagnostics.
IV_RICH_MIN,G4_IV_RICHNESS,1.15,>=,candidate,iv_richness,"index,lane,trade_mode,strategy_type",2647,0.62,1.153,1.178,1.231,1.15,3.509,percentile_candidate_after_stability_pass,owner_approved_extreme_percentile,Candidate-level field exists; absolute floor >1.00 still needs explicit policy.
MIN_PROB,G1_PROBABILITY,0.5,>=,candidate,p_ml,"index,lane,trade_mode,strategy_type",2756,44.88,0.2017,0.53725,0.9126,0.0694,0.9168,percentile_candidate_after_stability_pass,eligible_pending_batch5_wiring,"Generated diagnostics expose p_ml, not raw probability; treat as model/ranker probability evidence."
MIN_SIGMA_OTM,G7_SIGMA_LOWER,0.5,>=,candidate,sigma_otm,"index,lane,trade_mode,strategy_type",9953,17.1,0.03,1.6,4.46,0.0,4.82,percentile_candidate_after_stability_pass,eligible_pending_batch5_wiring,Candidate-level sigma exists and can be sliced directly.
MAX_SIGMA_OTM,G7_SIGMA_UPPER,1.15,<=,candidate,sigma_otm,"index,lane,trade_mode,strategy_type",9953,39.86,0.03,1.6,4.46,0.0,4.82,percentile_candidate_after_stability_pass,eligible_pending_batch5_wiring,Candidate-level sigma exists and can be sliced directly.
IC_WALL_MAX_SIGMA,G7_CONDOR_WALL_DISTANCE,1.5,<=,context,call_wall_distance,"index,lane,trade_mode",308,6.17,-7.95,213.85,531.9425,-63.65,611.0,context_measure_first,not_live_authority,"Context wall distance exists, but condor-specific wall mechanics need replay proof before live authority."
MIN_WIDTH_BNF,G5_WIDTH_LANE_ENABLE,400,>=,candidate,width,BNF only,9341,71.54,200.0,300.0,600.0,200.0,1000.0,lane_enable_not_percentile,not_live_authority,Width is structural/liquidity lane-enable; percentile can inform but should not replace broker/width policy.
MIN_WIDTH_NF,G5_WIDTH_LANE_ENABLE,150,>=,candidate,width,NF only,1695,15.1,150.0,250.0,400.0,100.0,400.0,lane_enable_not_percentile,not_live_authority,Width is structural/liquidity lane-enable; percentile can inform but should not replace broker/width policy.
IV_HIGH,G0_VOL_REGIME_DELETE_PROOF,20,>=,daily,vix,MARKET daily,308,85.06,9.675875,12.59875,24.7065,9.15,27.98,delete_proof_required,not_live_authority,"Claude-approved path is delete proof first, not live conversion."
IV_VERY_HIGH,G0_VOL_REGIME_DELETE_PROOF,24,>=,daily,vix,MARKET daily,308,92.86,9.675875,12.59875,24.7065,9.15,27.98,delete_proof_required,not_live_authority,"Claude-approved path is delete proof first, not live conversion."
IV_LOW,G0_VOL_REGIME_DELETE_PROOF,15,<=,daily,vix,MARKET daily,308,75.32,9.675875,12.59875,24.7065,9.15,27.98,delete_proof_required,not_live_authority,"Claude-approved path is delete proof first, not live conversion."
DOW_THRESHOLD,CROSS_MARKET_INPUT,0.5,>=,missing,dow_pct_change,MARKET daily/intraday,0,,,,,,,missing_history,not_live_authority,Not present in local C3/B1 percentile artifacts.
CRUDE_THRESHOLD,CROSS_MARKET_INPUT,1.5,>=,missing,crude_pct_change,MARKET daily/intraday,0,,,,,,,missing_history,not_live_authority,Not present in local C3/B1 percentile artifacts.
GIFT_THRESHOLD,CROSS_MARKET_INPUT,0.3,>=,missing,gift_pct_change,MARKET daily/intraday,0,,,,,,,missing_history,not_live_authority,Not present in local C3/B1 percentile artifacts.
NOISE_WINDOW,MICROSTRUCTURE,15,>=,missing,minutes_from_open,market microstructure,0,,,,,,,measure_first,not_live_authority,"This is time policy, not a market distribution threshold."
TARGET_NEAR_RATIO,G2_EXIT_POLICY,0.8,>=,missing,target_capture_ratio,managed exit path,0,,,,,,,g2_mechanism_only,not_live_authority,G2 is mechanism-only until exit diagnostics are complete.
STOP_LOSS_RATIO,G2_EXIT_POLICY,0.7,>=,missing,stop_loss_ratio,managed exit path,0,,,,,,,g2_mechanism_only,not_live_authority,G2 is mechanism-only until exit diagnostics are complete.
SIGMA_ENTRY_THRESHOLD,SIGMA_CONTEXT,1.5,>=,context,abs_spot_sigma,MARKET/context,2112,98.91,0.0,0.234761,0.923468,0.0,2.96883,context_measure_first,not_live_authority,Market sigma exists; entry policy needs replay before live authority.
SIGMA_EXIT_THRESHOLD,SIGMA_CONTEXT,1.0,>=,context,abs_spot_sigma,MARKET/context,2112,96.97,0.0,0.234761,0.923468,0.0,2.96883,context_measure_first,not_live_authority,Market sigma exists; exit policy needs replay before live authority.
SIGMA_IMPORTANT_THRESHOLD,SIGMA_CONTEXT,2.0,>=,context,abs_spot_sigma,MARKET/context,2112,99.2,0.0,0.234761,0.923468,0.0,2.96883,context_measure_first,not_live_authority,Market sigma exists; importance threshold needs replay before live authority.
CANDLE_MARUBOZU_SHADOW_PCT,CANDLE_PATTERN,0.05,<=,missing,candle_shadow_pct,candle replay,0,,,,,,,measure_first,not_live_authority,No local candle percentile artifact found.
CANDLE_DOJI_BODY_PCT,CANDLE_PATTERN,0.05,<=,missing,candle_body_pct,candle replay,0,,,,,,,measure_first,not_live_authority,No local candle percentile artifact found.
CANDLE_SPINNING_MIN_BODY_PCT,CANDLE_PATTERN,0.05,>=,missing,candle_body_pct,candle replay,0,,,,,,,measure_first,not_live_authority,No local candle percentile artifact found.
CANDLE_SPINNING_MAX_BODY_PCT,CANDLE_PATTERN,0.2,<=,missing,candle_body_pct,candle replay,0,,,,,,,measure_first,not_live_authority,No local candle percentile artifact found.
